Options:
Model:                           Discrete: Dependent
Tree File Name:                  pruned_tree.trees
Data File Name:                  BT_data.txt
Log File Name:                   res_dep.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2780318671
Precision:                       64 bits
Cores:                           5
Analysis Type:                   MCMC
Sample Period:                   30000
Iterations:                      30300000
Burn in:                         300000
MCMC ML Start:                   False
Schedule File:                   res_dep.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q13 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q21 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q24 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q31 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q34 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q42 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
        q43 - Hyper Prior gamma (0.00,10.00) (0.00,10.00) 
Tree Information
     Trees:                      100
     Taxa:                       1993
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	q12 - Shape	q12 - Scale	q13 - Shape	q13 - Scale	q21 - Shape	q21 - Scale	q24 - Shape	q24 - Scale	q31 - Shape	q31 - Scale	q34 - Shape	q34 - Scale	q42 - Shape	q42 - Scale	q43 - Shape	q43 - Scale	
22050000	-2216.578970	5	0.177381	0.166804	0.291338	0.351185	0.124587	0.172757	0.155018	0.061111	0.250000	0.250000	0.250000	0.250000	2.552328	0.082120	1.009272	8.271213	0.675125	6.515221	1.102830	2.767229	1.808692	0.231897	1.640880	0.901648	4.177949	0.031371	0.915698	1.167829	
22080000	-2215.855229	5	0.199954	0.126628	0.382132	0.423721	0.104869	0.162812	0.168562	0.047416	0.250000	0.250000	0.250000	0.250000	0.783340	4.523971	0.094034	9.243688	1.384222	2.240687	1.558003	1.109354	0.999715	6.979659	0.365218	4.614655	4.434460	0.047070	0.520143	4.075396	
22110000	-2223.996542	5	0.247555	0.141604	0.485255	0.395641	0.091578	0.103773	0.140422	0.036013	0.250000	0.250000	0.250000	0.250000	0.804210	5.265370	1.484147	1.148759	5.294894	0.541543	2.708681	1.198978	1.052409	8.113769	0.877209	8.123434	2.047058	0.310371	0.180748	1.945789	
22140000	-2218.009911	5	0.193999	0.142274	0.357947	0.512634	0.082720	0.141194	0.220401	0.055355	0.250000	0.250000	0.250000	0.250000	0.848654	6.724107	0.419752	1.463076	7.282200	0.050088	0.170305	4.806324	0.710154	4.879284	1.794254	2.822009	1.294545	5.004460	0.519591	0.057550	
22170000	-2215.828191	5	0.183556	0.129110	0.361698	0.435605	0.099550	0.186725	0.165112	0.063293	0.250000	0.250000	0.250000	0.250000	0.478370	4.144339	0.294388	1.820258	1.433784	1.032010	3.048725	0.256795	3.357363	0.139291	0.584722	7.840857	1.252562	7.913981	0.549706	5.986758	
22200000	-2217.512789	5	0.168171	0.127738	0.262378	0.454976	0.079859	0.131947	0.179876	0.057934	0.250000	0.250000	0.250000	0.250000	0.554140	1.442289	0.136540	1.665282	0.884878	0.162767	1.654133	6.507981	0.474300	2.353513	4.811980	0.022988	0.980117	3.564637	1.668907	0.066044	
22230000	-2215.796020	5	0.182981	0.132725	0.293693	0.400182	0.113989	0.164945	0.144950	0.068581	0.250000	0.250000	0.250000	0.250000	1.390290	4.961487	2.560677	0.247894	0.760272	5.135655	0.290544	9.486328	0.097734	7.153866	0.573950	3.313455	0.885859	2.442764	1.300823	3.919931	
22260000	-2218.359860	5	0.158629	0.161710	0.432795	0.251032	0.105077	0.168575	0.125291	0.056419	0.250000	0.250000	0.250000	0.250000	3.983877	0.249479	0.368012	6.258080	1.723602	7.043214	1.669967	7.029606	0.946737	0.043397	2.101314	0.055293	0.617787	4.596936	0.571135	4.328472	
22290000	-2216.201767	5	0.180669	0.130162	0.308867	0.406241	0.103883	0.164405	0.181933	0.043231	0.250000	0.250000	0.250000	0.250000	0.396200	4.559913	0.614953	4.120385	0.529795	2.498198	0.132707	6.954006	2.750165	0.103655	0.482531	6.679126	1.325189	2.959366	0.762078	3.741454	
22320000	-2222.834410	5	0.177054	0.141255	0.213881	0.410806	0.101474	0.175770	0.139828	0.095125	0.250000	0.250000	0.250000	0.250000	0.380427	4.391562	0.237181	2.494344	0.971634	7.205200	0.464653	5.279472	0.210322	1.817753	2.184817	0.235302	2.713770	0.055592	0.545906	0.989305	
22350000	-2218.841389	5	0.174406	0.167951	0.331389	0.330536	0.148736	0.157303	0.128864	0.064498	0.250000	0.250000	0.250000	0.250000	0.720039	0.874321	0.980576	4.554328	0.525944	4.926584	1.293240	0.324602	5.280876	0.034015	0.158816	1.801013	0.685360	0.354451	1.085294	1.707987	
22380000	-2220.358420	5	0.166560	0.135982	0.294211	0.258653	0.102955	0.119358	0.115698	0.044715	0.250000	0.250000	0.250000	0.250000	0.388970	3.683971	3.642614	0.075455	0.489244	2.209107	1.304291	3.473929	0.561599	0.590616	0.819757	7.529250	0.120726	7.152276	0.492452	8.910341	
22410000	-2216.420071	5	0.155065	0.150024	0.274687	0.262388	0.100589	0.165181	0.128798	0.054961	0.250000	0.250000	0.250000	0.250000	1.187098	1.322871	0.519217	2.759917	1.504756	8.351083	0.289753	6.815273	0.779921	9.449054	1.935683	8.995756	0.262886	2.283572	0.761434	7.542963	
22440000	-2222.183827	5	0.183643	0.177412	0.425642	0.276012	0.124370	0.195835	0.117603	0.032164	0.250000	0.250000	0.250000	0.250000	1.209697	0.810390	0.613933	4.663268	1.463082	4.396898	1.247449	8.821021	0.593267	2.805182	2.253100	3.381844	0.403349	1.240815	1.290139	3.903679	
22470000	-2220.966225	5	0.161573	0.169845	0.283293	0.230589	0.131754	0.152969	0.139011	0.046887	0.250000	0.250000	0.250000	0.250000	1.161448	4.509870	1.348098	0.320745	1.000636	2.741674	6.440848	0.044893	2.794213	0.181724	0.260571	6.222543	1.343382	7.689624	0.934273	1.705535	
22500000	-2219.834186	5	0.135052	0.141880	0.275886	0.298178	0.105578	0.155071	0.113909	0.044278	0.250000	0.250000	0.250000	0.250000	1.612581	0.546111	1.780797	0.132788	9.873816	0.017423	0.379175	3.896773	0.935917	4.146059	0.695416	2.955209	0.325396	9.297881	1.928487	2.705968	
22530000	-2217.125760	5	0.197011	0.160705	0.321581	0.344360	0.105772	0.173511	0.133106	0.050019	0.250000	0.250000	0.250000	0.250000	4.826634	0.047326	2.862407	0.048274	4.821773	0.100246	0.743624	6.164559	0.583448	0.868348	0.123436	1.512465	0.355122	8.536549	2.001558	0.997517	
22560000	-2218.362786	5	0.216218	0.147379	0.412859	0.287358	0.126936	0.154583	0.134702	0.035489	0.250000	0.250000	0.250000	0.250000	2.425891	0.103840	1.090809	0.796381	3.020990	0.102919	0.646542	3.828930	2.052663	0.149487	0.668472	0.885822	0.334783	5.769669	0.100617	3.644151	
22590000	-2216.657397	5	0.167960	0.135706	0.274630	0.329435	0.093837	0.171654	0.123031	0.056816	0.250000	0.250000	0.250000	0.250000	0.610854	2.178653	0.859310	0.519516	0.194645	6.674468	9.991282	0.019869	0.322444	4.458419	0.302667	6.547478	0.643581	2.170111	1.503273	4.629627	
22620000	-2217.004183	5	0.225149	0.151899	0.485765	0.351924	0.108274	0.155471	0.133602	0.051216	0.250000	0.250000	0.250000	0.250000	1.119191	1.847671	0.886454	0.690336	0.353567	8.844929	0.878986	7.393219	0.964731	0.390820	0.317652	7.992326	6.588123	0.011859	0.487445	7.437090	
22650000	-2217.586648	5	0.189548	0.115489	0.308772	0.352047	0.093789	0.132957	0.147125	0.041957	0.250000	0.250000	0.250000	0.250000	0.811763	1.572766	1.388254	1.237967	0.435465	6.715561	0.849541	4.693194	1.867824	1.870701	0.077833	6.385558	7.005562	0.031873	0.898881	7.494258	
22680000	-2221.937984	5	0.205683	0.136383	0.243941	0.282652	0.097937	0.175680	0.129532	0.062922	0.250000	0.250000	0.250000	0.250000	0.415669	5.602000	1.952549	0.155500	0.736617	1.393594	1.256161	5.044067	0.768887	8.851829	0.500621	0.383761	0.372157	5.842118	0.853509	9.856797	
22710000	-2221.795844	5	0.223151	0.193207	0.420764	0.308839	0.127419	0.180948	0.138402	0.032267	0.250000	0.250000	0.250000	0.250000	1.884908	0.304312	0.539406	9.103415	0.647970	8.959679	0.395115	3.740602	0.271559	3.785658	0.262112	1.643719	3.591623	0.343863	0.600067	0.245911	
22740000	-2220.672893	5	0.142517	0.110069	0.321234	0.373917	0.104025	0.178861	0.168344	0.072576	0.250000	0.250000	0.250000	0.250000	0.252708	1.517274	0.517699	7.325491	0.610077	2.366074	1.333035	6.050889	1.184153	0.860721	0.112634	0.602831	1.127717	0.858960	0.663508	0.764282	
22770000	-2216.273643	5	0.152197	0.167190	0.289881	0.356601	0.107873	0.171723	0.158646	0.041088	0.250000	0.250000	0.250000	0.250000	1.600832	0.195252	2.054562	0.296941	0.573118	1.117296	1.038234	2.083262	0.075329	5.136013	0.103954	5.724436	1.528188	2.207706	0.537302	5.745740	
22800000	-2216.449886	5	0.167234	0.131411	0.272203	0.425352	0.116173	0.178258	0.176736	0.068501	0.250000	0.250000	0.250000	0.250000	1.031283	2.519220	0.415278	6.018422	0.988903	3.862865	1.694060	0.315261	2.096791	0.353555	1.486158	0.463445	1.440114	4.765767	0.126298	4.421985	
22830000	-2218.407421	5	0.221306	0.153023	0.408085	0.337512	0.097425	0.117730	0.146472	0.040304	0.250000	0.250000	0.250000	0.250000	0.316402	5.156045	6.490324	0.042531	0.363253	0.360530	1.305722	1.597913	0.217693	5.949648	0.890507	2.034695	0.371835	1.972389	0.804445	5.890502	
22860000	-2218.353476	5	0.166657	0.130148	0.275143	0.504617	0.101277	0.146104	0.156766	0.060765	0.250000	0.250000	0.250000	0.250000	0.265854	3.792336	8.552278	0.037741	1.354078	0.062014	2.529772	0.428570	0.335310	8.039730	0.782596	0.283199	1.579119	2.467519	0.331552	6.587872	
22890000	-2214.513947	5	0.188695	0.148924	0.335705	0.318243	0.099656	0.153954	0.145586	0.060142	0.250000	0.250000	0.250000	0.250000	1.100192	5.564678	8.051295	0.013385	2.187265	0.218213	1.359958	1.127306	0.272671	8.121000	1.217975	1.236468	1.404487	2.037435	0.222145	7.084619	
22920000	-2215.665475	5	0.146027	0.153695	0.310787	0.410565	0.104209	0.180809	0.182085	0.047597	0.250000	0.250000	0.250000	0.250000	0.127945	3.597312	8.675635	0.072102	1.257600	2.073346	0.232336	2.393660	0.465984	1.366435	1.139033	1.054672	2.203139	0.684943	0.431507	6.953853	
22950000	-2219.753836	5	0.200419	0.153362	0.305540	0.452508	0.131589	0.171523	0.198937	0.072873	0.250000	0.250000	0.250000	0.250000	0.981910	3.855322	1.787099	0.095959	2.419499	0.463584	0.627726	0.551626	0.248068	3.217622	0.822676	8.539524	1.611140	0.749879	0.825316	8.998499	
22980000	-2219.048094	5	0.178882	0.162426	0.338821	0.263157	0.115695	0.184313	0.132116	0.080277	0.250000	0.250000	0.250000	0.250000	0.598389	0.649205	0.958963	2.311602	0.877268	7.366177	2.741426	0.063828	4.526874	0.051157	2.023736	0.937416	1.603273	0.149499	0.291395	1.625138	
23010000	-2218.932018	5	0.218044	0.156784	0.514208	0.297941	0.123616	0.149112	0.128429	0.035463	0.250000	0.250000	0.250000	0.250000	0.680558	1.741113	0.865388	0.275099	1.029086	9.959231	1.284482	0.300795	4.754869	0.026711	0.261488	3.243538	1.150831	0.379657	0.134620	2.820108	
23040000	-2221.145494	5	0.204174	0.131816	0.350228	0.559134	0.123542	0.131346	0.218204	0.045396	0.250000	0.250000	0.250000	0.250000	0.218080	1.520261	2.971503	0.184054	1.305622	3.377417	2.129699	2.346802	0.492557	3.779378	1.842193	0.141527	2.401801	0.240550	0.319496	2.813052	
23070000	-2217.166500	5	0.164344	0.133443	0.240820	0.358321	0.099108	0.148871	0.130356	0.063116	0.250000	0.250000	0.250000	0.250000	0.393360	6.844091	2.280832	0.039008	1.263217	6.353532	2.662114	0.550705	0.280765	2.103088	0.702443	2.453435	0.227769	5.381616	2.405480	0.147550	
23100000	-2219.017528	5	0.160778	0.144453	0.236842	0.453845	0.126015	0.181903	0.194290	0.064610	0.250000	0.250000	0.250000	0.250000	2.543096	0.191630	0.278747	2.033087	1.019941	3.801751	0.601917	5.912944	0.381398	0.316896	0.888766	5.025239	0.963919	9.300657	0.879966	0.246374	
23130000	-2217.028578	5	0.181234	0.161150	0.387582	0.430226	0.107241	0.151130	0.150577	0.047566	0.250000	0.250000	0.250000	0.250000	0.474844	7.254521	0.639233	5.152459	0.575306	3.595089	2.342207	0.223482	0.310171	5.806080	0.840067	7.162137	0.586836	2.228133	0.346511	0.391103	
23160000	-2217.512887	5	0.131057	0.140275	0.338208	0.372419	0.095179	0.169298	0.147278	0.046228	0.250000	0.250000	0.250000	0.250000	0.282594	1.406109	1.018573	3.849131	0.933264	3.774650	1.475724	1.611520	1.109985	0.438964	1.530729	0.757998	2.959650	0.055232	1.955320	0.689096	
23190000	-2220.640194	5	0.230658	0.148891	0.498791	0.233407	0.128270	0.145549	0.116096	0.049287	0.250000	0.250000	0.250000	0.250000	1.442268	0.499402	0.766119	1.384201	0.492780	9.384376	1.381013	2.535410	0.276518	7.060109	0.500574	0.398302	0.914570	9.871700	0.983873	1.301747	
23220000	-2216.398808	5	0.172014	0.126878	0.343765	0.302070	0.109295	0.148860	0.148028	0.057098	0.250000	0.250000	0.250000	0.250000	1.254537	2.367991	0.671350	2.211054	1.136462	1.080046	2.363747	0.072761	1.396719	2.936679	2.864026	0.150380	7.703407	0.057881	0.686632	7.904821	
23250000	-2214.076381	5	0.180869	0.132877	0.327107	0.398817	0.103628	0.159787	0.163124	0.055379	0.250000	0.250000	0.250000	0.250000	2.357508	0.780979	0.720090	1.992254	5.427603	0.125605	3.686724	0.120058	0.935368	2.087901	1.726592	2.666952	9.039224	0.019331	0.361548	8.089030	
23280000	-2215.041198	5	0.199889	0.138260	0.369928	0.372974	0.104764	0.164565	0.155452	0.068776	0.250000	0.250000	0.250000	0.250000	0.420853	1.862091	2.576576	0.077783	8.422340	0.041931	0.680722	6.495063	1.924864	0.404750	0.009295	1.200040	0.600089	6.523673	0.661464	7.673765	
23310000	-2215.795144	5	0.179150	0.116608	0.333312	0.409120	0.085895	0.154151	0.158289	0.069723	0.250000	0.250000	0.250000	0.250000	1.164419	2.624772	6.477519	0.015842	6.677830	0.037574	1.079270	8.802108	0.473694	2.996827	0.896547	0.468123	0.597428	5.469274	0.470814	6.840603	
23340000	-2217.586314	5	0.158378	0.139777	0.250462	0.463174	0.106907	0.134622	0.193027	0.051739	0.250000	0.250000	0.250000	0.250000	1.164419	2.624772	6.477519	0.015842	6.677830	0.037574	1.079270	8.802108	0.473694	2.996827	0.896547	0.468123	0.597428	5.469274	0.470814	6.840603	
23370000	-2216.192644	5	0.156418	0.133214	0.255482	0.353665	0.116049	0.166013	0.141188	0.064685	0.250000	0.250000	0.250000	0.250000	1.164419	2.624772	6.477519	0.015842	6.677830	0.037574	1.079270	8.802108	0.473694	2.996827	0.896547	0.468123	0.597428	5.469274	0.470814	6.840603	
23400000	-2217.861280	5	0.164305	0.145175	0.325681	0.329475	0.130840	0.141064	0.162237	0.048029	0.250000	0.250000	0.250000	0.250000	1.054913	2.591503	5.227713	0.014945	5.921307	0.071231	0.562232	8.656778	0.624840	2.673693	0.260966	1.128640	0.296824	6.551108	0.760242	9.839181	
23430000	-2220.310312	5	0.203339	0.120034	0.309846	0.354495	0.090286	0.115345	0.172725	0.045794	0.250000	0.250000	0.250000	0.250000	0.821833	1.240658	4.653323	0.028841	5.947536	0.036610	0.077821	7.489608	0.160845	3.606156	0.182466	2.078144	0.641477	7.740366	0.488923	9.979713	
23460000	-2217.090049	5	0.199118	0.156807	0.386185	0.492616	0.103725	0.147171	0.187873	0.051879	0.250000	0.250000	0.250000	0.250000	0.923182	0.342933	5.176852	0.030650	7.168795	0.070941	0.695840	7.308797	0.642122	4.339992	0.100406	2.238486	0.631251	8.682442	0.691790	8.942455	
23490000	-2218.888915	5	0.141923	0.160242	0.270760	0.298629	0.093183	0.135864	0.132841	0.039821	0.250000	0.250000	0.250000	0.250000	0.772430	1.499671	5.705495	0.090077	8.446535	0.052278	0.399127	8.771326	1.059820	3.051359	0.313002	3.027893	0.663232	7.929816	0.279985	8.639423	
23520000	-2219.007402	5	0.183408	0.140017	0.356914	0.476702	0.092889	0.127678	0.152135	0.046757	0.250000	0.250000	0.250000	0.250000	0.327850	1.284843	6.086924	0.021352	9.786697	0.044255	0.940947	6.159399	0.757657	3.071449	0.378189	2.974393	1.467920	7.762338	0.417661	9.631400	
23550000	-2216.613460	5	0.178040	0.141623	0.291738	0.365578	0.122648	0.175683	0.172758	0.060263	0.250000	0.250000	0.250000	0.250000	0.349949	0.373173	4.184895	0.103600	8.416896	0.056160	0.402968	9.049359	0.954076	4.002843	0.552015	2.358589	0.706044	6.794844	0.252875	9.589850	
23580000	-2217.401496	5	0.180213	0.147054	0.358267	0.301531	0.114729	0.187362	0.128502	0.077380	0.250000	0.250000	0.250000	0.250000	1.609243	3.238635	2.163962	0.288364	6.407118	0.090017	0.901583	4.216260	1.149266	2.809729	1.739672	2.388711	1.517225	0.501969	0.395141	7.329764	
23610000	-2214.797464	5	0.200225	0.148438	0.357005	0.391489	0.104271	0.144918	0.157870	0.053779	0.250000	0.250000	0.250000	0.250000	3.432455	0.044480	0.818519	1.765796	0.883514	4.020125	1.863083	0.614619	0.468001	1.099992	0.449833	2.399360	1.566018	0.413961	1.610305	0.964447	
23640000	-2216.505647	5	0.183556	0.141161	0.372138	0.392690	0.110837	0.129750	0.169744	0.040864	0.250000	0.250000	0.250000	0.250000	0.339963	5.049176	1.170851	3.353095	0.279901	2.117743	0.126033	8.220573	4.501093	0.020680	0.393389	9.644363	0.431473	3.671878	0.039782	5.449759	
23670000	-2217.969082	5	0.220868	0.139815	0.467013	0.394411	0.102991	0.171088	0.152079	0.073159	0.250000	0.250000	0.250000	0.250000	2.850321	0.094465	1.242670	4.625485	1.178689	0.524815	0.383671	2.782092	0.559971	2.715807	0.313525	4.343485	0.844423	0.363034	0.348264	0.030844	
23700000	-2220.251290	5	0.192518	0.144497	0.420977	0.278405	0.142453	0.169475	0.147382	0.048501	0.250000	0.250000	0.250000	0.250000	2.585965	0.039003	2.692178	0.167614	0.956637	9.605643	4.907328	0.036266	1.320505	0.165854	1.240099	0.563433	2.270263	1.000277	0.202842	4.228719	
23730000	-2214.885406	5	0.178967	0.139990	0.296739	0.424064	0.095194	0.150186	0.161297	0.056082	0.250000	0.250000	0.250000	0.250000	1.243581	2.149693	0.786754	6.964709	0.234579	1.886202	1.778332	0.278112	0.555046	5.697781	0.568933	0.907930	0.867413	5.904550	0.812859	2.135806	
23760000	-2216.155404	5	0.159321	0.138413	0.371303	0.372003	0.100304	0.195992	0.150197	0.061748	0.250000	0.250000	0.250000	0.250000	1.750709	0.102774	0.240735	2.185612	0.270595	4.732485	2.295330	0.392662	1.011155	0.829175	1.281485	0.175781	0.680284	0.184569	1.254024	0.392951	
23790000	-2214.887368	5	0.157876	0.145198	0.289317	0.314862	0.093673	0.158986	0.133581	0.052856	0.250000	0.250000	0.250000	0.250000	1.293472	1.501449	0.799567	1.436784	1.175573	1.064341	0.933551	0.780055	1.143624	0.531179	0.032297	2.207253	1.142164	0.700127	0.642546	4.891693	
23820000	-2217.934132	5	0.205426	0.132932	0.395461	0.286498	0.094705	0.201540	0.122866	0.058880	0.250000	0.250000	0.250000	0.250000	0.653176	4.444868	1.484718	0.956806	1.376189	2.824092	0.431555	6.880689	0.410814	3.795007	0.124872	2.572932	0.321330	6.463790	0.532771	7.585385	
23850000	-2215.972130	5	0.155834	0.148192	0.305584	0.421999	0.113396	0.182626	0.183848	0.063738	0.250000	0.250000	0.250000	0.250000	0.878920	0.722641	3.380700	0.031700	0.201483	3.929074	7.026889	0.057312	0.286815	7.323913	0.665845	4.415471	0.942656	1.775475	0.914534	0.187388	
23880000	-2215.864869	5	0.154766	0.137912	0.298762	0.334031	0.102618	0.160887	0.173925	0.058240	0.250000	0.250000	0.250000	0.250000	0.878920	0.722641	3.380700	0.031700	0.201483	3.929074	7.026889	0.057312	0.286815	7.323913	0.665845	4.415471	0.942656	1.775475	0.914534	0.187388	
23910000	-2220.396510	5	0.207496	0.168152	0.438605	0.430530	0.126991	0.135773	0.176553	0.030663	0.250000	0.250000	0.250000	0.250000	0.565293	9.823739	0.914611	1.855038	0.866897	6.706115	1.430101	7.938729	0.957559	1.083348	1.031500	0.294919	1.053412	0.718528	2.747411	0.049231	
23940000	-2221.427778	5	0.200514	0.125447	0.292951	0.566752	0.081975	0.145822	0.235132	0.075809	0.250000	0.250000	0.250000	0.250000	0.810868	7.983672	0.548801	1.704718	1.712655	7.946870	0.121269	3.871208	0.196375	2.512602	1.910535	2.203147	2.711740	0.129311	2.834815	0.400486	
23970000	-2214.937071	5	0.176654	0.151704	0.366694	0.343012	0.092397	0.185300	0.136785	0.055057	0.250000	0.250000	0.250000	0.250000	0.495263	5.966378	0.216052	0.949570	5.699168	0.079266	0.512867	3.997264	0.310221	0.912491	3.139149	0.318333	2.926072	0.029081	0.625780	6.364888	
24000000	-2216.825056	5	0.189256	0.159056	0.365424	0.394990	0.118738	0.139725	0.184475	0.042991	0.250000	0.250000	0.250000	0.250000	0.729286	0.365758	0.939791	4.588142	0.667206	2.551357	0.514979	4.465636	0.689216	0.351113	1.680950	0.594370	1.639009	0.790921	0.556013	1.441943	
24030000	-2219.070610	5	0.174379	0.146928	0.288771	0.406395	0.121564	0.156162	0.129942	0.080947	0.250000	0.250000	0.250000	0.250000	1.008518	0.090391	1.483169	0.098100	3.094286	0.139215	1.301095	2.116401	0.312385	2.269976	2.602331	0.205706	0.595382	8.925057	1.182492	0.639067	
24060000	-2222.067481	5	0.246279	0.133989	0.471928	0.410680	0.127591	0.163395	0.186918	0.041679	0.250000	0.250000	0.250000	0.250000	1.128218	1.969834	0.728591	7.765605	0.676653	0.855363	1.634984	2.963160	1.176433	7.061033	0.642389	2.663529	0.090623	8.425131	0.389687	4.287999	
24090000	-2216.650258	5	0.192231	0.144361	0.361899	0.349833	0.108798	0.169315	0.143605	0.079598	0.250000	0.250000	0.250000	0.250000	0.366609	5.098560	1.254725	2.950692	0.947885	8.199099	0.795605	5.333571	1.888328	0.442227	3.199676	0.098687	0.678227	5.338016	2.622398	0.026868	
24120000	-2216.719025	5	0.160142	0.121792	0.312344	0.315889	0.094300	0.195636	0.143335	0.061491	0.250000	0.250000	0.250000	0.250000	2.046017	0.180562	1.211009	0.114372	0.578009	1.772027	1.135813	2.343498	0.479430	2.784102	2.681034	0.036431	0.853822	3.907214	1.897854	0.061098	
24150000	-2217.476822	5	0.190944	0.173687	0.318845	0.347256	0.129094	0.172697	0.153262	0.063051	0.250000	0.250000	0.250000	0.250000	0.482771	0.565985	0.120005	1.229415	0.665668	1.021927	0.473533	6.878287	0.280607	7.178078	3.282666	0.073174	0.689360	7.043620	1.692393	0.044315	
24180000	-2219.328348	5	0.181843	0.174376	0.489370	0.249799	0.124481	0.172275	0.136154	0.052299	0.250000	0.250000	0.250000	0.250000	1.792672	0.295358	0.462568	0.850772	1.603476	5.464145	1.059797	6.290004	0.760004	5.297119	1.523243	0.469002	0.380227	5.279809	8.312732	0.008046	
24210000	-2218.749854	5	0.157591	0.123148	0.238129	0.468154	0.110743	0.148207	0.191752	0.079816	0.250000	0.250000	0.250000	0.250000	0.372878	3.971256	1.511979	0.193345	0.160090	4.599048	0.124611	4.989756	0.878590	5.637005	0.548377	0.272872	1.260603	5.586942	6.871787	0.010071	
24240000	-2217.674592	5	0.187332	0.116998	0.289823	0.465581	0.083043	0.180090	0.171826	0.058466	0.250000	0.250000	0.250000	0.250000	0.594435	3.018577	1.369174	0.565363	1.060163	4.053214	0.296708	3.181395	0.605364	4.232548	0.358597	2.539122	0.460222	5.404199	7.054136	0.007624	
24270000	-2218.724379	5	0.230084	0.146129	0.399519	0.329106	0.106719	0.183946	0.124281	0.069561	0.250000	0.250000	0.250000	0.250000	0.663149	9.731908	1.835914	0.816574	0.762444	6.869617	0.684715	6.115739	0.132594	5.140518	0.385460	4.598592	0.609229	2.016470	5.465021	0.013772	
24300000	-2218.478035	5	0.158874	0.123029	0.350860	0.261609	0.107658	0.169295	0.135113	0.055200	0.250000	0.250000	0.250000	0.250000	0.739436	2.510457	0.187276	8.443300	6.119791	0.139328	0.253773	8.765397	0.740835	0.300660	0.338437	4.439680	1.932063	0.120840	0.080001	4.172066	
24330000	-2215.488331	5	0.182344	0.128636	0.371837	0.348621	0.090042	0.139835	0.134156	0.046274	0.250000	0.250000	0.250000	0.250000	1.418301	5.765261	0.620098	1.662365	3.015729	0.327830	0.512579	3.704495	0.341955	9.288006	2.058777	2.049531	0.465752	9.291341	0.732258	0.093655	
24360000	-2219.082513	5	0.180760	0.177463	0.405056	0.409889	0.111833	0.195546	0.161186	0.039425	0.250000	0.250000	0.250000	0.250000	1.556373	4.711824	0.677729	0.865493	0.383165	5.580416	2.372775	0.221526	1.718265	0.560709	0.901520	7.852768	0.242188	3.063105	0.600601	1.302508	
24390000	-2216.721798	5	0.191137	0.136458	0.380472	0.440741	0.114788	0.157492	0.148108	0.061316	0.250000	0.250000	0.250000	0.250000	0.738688	8.481696	6.217025	0.035229	0.895669	1.188186	3.636005	0.208689	0.886105	2.195897	0.226395	2.883716	0.342105	5.382278	0.943779	4.427174	
